subject,parcel,retrieval,hmm (-2TR),hmm (-1 TR),reinstatement (z) (-7 to -3 TR)
2040,22,1,0,0,0.023818505
2040,22,1,0,0,-0.024332626
2040,22,0,0,0,0.077173343
2040,22,0,0,0,0.016220785
2040,22,1,0,0,-0.002291317
2040,22,1,0,1,0.009785846
2040,22,1,0,1,0.010319554
2040,22,1,0,0,-0.02320237
2040,22,0,0,0,-0.051745417
2040,22,1,0,1,-0.001552425
2040,22,1,0,1,-0.093739536
2040,22,1,1,0,0.02137457
2040,22,0,0,0,-0.014190491
2040,22,0,0,0,-0.041102645
2040,22,0,0,0,-0.006382009
2040,22,0,0,0,-0.032687534
2040,22,1,0,0,-0.027044933
2040,22,1,1,0,0.041193522
2040,22,1,0,0,0.047674909
2040,22,1,0,0,0.171486311
2040,22,0,1,0,-0.054604063
2040,22,1,0,1,-0.033485075
2040,22,1,1,0,0.056534337
2040,22,1,0,0,0.044874357
2040,22,1,0,1,-0.050267226
2040,22,0,1,0,0.054415322
2040,22,0,0,0,-0.046146115
2040,22,0,0,0,-0.019206105
2040,22,0,1,0,0.007724343
2040,22,0,0,1,-0.012788519
2040,22,1,0,1,-0.11724134
2040,22,0,1,0,0.03792024
2040,22,1,0,0,0.018647776
2040,22,0,0,0,0.13335183
2040,22,1,1,0,-0.038096498
2040,22,0,0,0,-0.121556487
2040,22,0,0,0,-0.048677379
2040,22,1,0,1,-0.005357461
2040,22,0,0,1,0.11123233
2040,22,0,1,0,-0.046097492
3004,22,1,1,0,-0.074300077
3004,22,1,0,0,0.003273159
3004,22,0,0,1,-0.055267381
3004,22,0,1,0,-0.025522916
3004,22,0,1,0,-0.060945935
3004,22,0,0,0,-0.057350208
3004,22,0,0,0,-0.009144421
3004,22,1,1,0,-0.0548743
3004,22,1,0,1,0.00183348
3004,22,1,0,1,-0.054196118
3004,22,1,0,1,-0.032451629
3004,22,0,0,0,0.061431406
3004,22,0,1,0,0.036938774
3004,22,1,0,0,0.066914548
3004,22,0,0,1,0.038522938
3004,22,0,0,0,0.049546151
3004,22,0,1,0,0.062338267
3004,22,1,0,0,0.068467246
3004,22,1,0,0,-0.10014737
3004,22,0,0,0,0.005018733
3004,22,1,0,1,0.109689846
3004,22,1,1,0,-0.080357552
3004,22,1,0,1,-0.02091766
3004,22,1,1,0,0.033254579
3004,22,0,0,0,-0.115391484
3004,22,1,0,0,-0.082910811
3004,22,1,0,1,0.056438812
3004,22,1,0,0,-0.206325581
3004,22,0,1,0,0.02159767
3004,22,1,0,0,-0.082636215
3004,22,0,0,1,-0.037321445
3004,22,0,0,0,-0.051796889
3007,22,1,0,0,0.131825931
3007,22,0,0,0,-0.134780458
3007,22,0,0,1,0.002677478
3007,22,1,1,0,0.054351561
3007,22,0,1,0,-0.037161057
3007,22,0,0,0,0.025163253
3007,22,0,0,0,-0.248124472
3007,22,0,1,0,-0.018247403
3007,22,1,0,1,0.041424759
3007,22,0,0,0,0.049827454
3007,22,1,0,0,0.075376785
3007,22,1,0,0,0.024892386
3007,22,0,0,1,0.054043019
3007,22,0,1,0,0.076517368
3007,22,0,0,1,0.022602346
3007,22,1,0,0,0.027351967
3007,22,1,0,0,0.100426196
3007,22,0,1,0,0.04523772
3007,22,0,1,0,0.007938129
3007,22,0,0,0,-0.022732479
3007,22,0,0,0,0.100735295
3007,22,1,0,0,0.112248805
3013,22,1,1,0,0.064249656
3013,22,1,0,0,-0.115464681
3013,22,1,0,1,-0.003475737
3013,22,0,1,0,-0.095651642
3013,22,0,0,0,0.017007841
3013,22,0,0,0,-0.071595063
3013,22,0,0,0,0.014476296
3013,22,0,1,0,-0.03647739
3013,22,0,0,0,-0.044698522
3013,22,0,0,0,0.0235993
3013,22,1,0,1,-0.027513117
3013,22,1,1,0,-0.088538215
3013,22,1,0,0,-0.06758025
3013,22,0,0,0,0.039081215
3013,22,0,0,0,-0.01724103
3013,22,0,0,0,-0.005712696
3013,22,0,0,1,0.013986823
3013,22,0,1,0,-0.123227048
3013,22,1,0,0,-0.046775881
3013,22,0,0,0,0.031763949
3013,22,1,1,0,0.011075852
3013,22,0,0,0,0.004347156
3013,22,0,0,0,-0.066344017
3013,22,1,1,0,0.093582611
3013,22,1,0,0,0.003021372
3013,22,1,1,0,0.012173814
3013,22,1,0,0,-0.01118006
