subject,run,scene,TR (scene),TR (run),sec (scene)
1014,8,3,43,129,52.65585179
1014,8,5,6,164,8.02862316
1014,8,5,68,226,82.31168579
1014,9,1,13,13,16.24915522
1014,9,2,22,69,27.00294502
1014,9,3,11,88,13.37383453
1014,9,5,10,186,12.66269322
1014,10,1,40,40,48.40859267
1014,10,4,9,109,11.82278539
1014,10,5,20,134,25.12495983
1014,10,5,33,147,39.68378671
1014,10,5,44,158,53.73728133
1017,1,1,19,19,23.87576482
1017,3,1,20,20,25.07974666
1017,3,2,7,72,9.350788134
1017,3,4,45,167,55.07015548
1017,4,1,22,22,26.50133372
1017,4,4,21,125,25.91667113
1017,4,5,51,224,61.7848377
1017,5,1,7,7,9.197819491
1017,5,2,55,123,66.63147779
1017,7,1,6,6,8.31222754
1017,7,1,19,19,23.78907108
1017,8,5,5,162,6.39745554
1017,10,1,8,8,10.09972888
1017,10,3,23,94,28.5498311
1017,10,5,48,162,58.78275227
1020,1,1,12,12,14.69607846
1020,1,2,12,38,14.98869936
1020,1,2,23,49,28.16483928
1020,1,2,37,63,44.81089339
1020,1,3,13,81,15.73739687
1020,1,3,17,85,21.11794959
1020,1,4,16,144,19.4058336
1020,1,4,43,171,51.60078795
1020,1,5,30,204,36.71654337
1020,1,5,42,216,50.73443775
1020,2,1,8,8,10.26770137
1020,2,1,29,29,35.25742259
1020,2,2,15,61,19.15980902
1020,2,2,31,77,37.51067631
1020,2,3,16,108,20.20464483
1020,2,4,13,128,16.40790658
1020,2,5,5,158,6.604610245
1020,3,1,47,47,56.40366593
1020,3,1,53,53,64.44876514
1020,3,2,13,80,16.78653598
1020,3,3,6,88,7.807940685
1020,3,3,21,103,25.45286807
1020,3,3,38,120,45.97128767
1020,3,4,7,130,8.648971497
1020,3,4,12,135,15.11176411
1020,3,4,35,158,42.85028374
1020,3,4,56,179,67.78913479
1020,4,1,38,38,46.27102187
1020,4,2,25,65,30.1204587
1020,4,3,18,90,22.53347172
1020,4,4,4,108,5.478619578
1020,4,5,10,183,12.48788385
1020,4,5,55,228,66.38000601
1020,5,1,5,5,6.895503473
1020,5,1,45,45,54.72961229
1020,5,2,15,82,18.24260307
1020,5,2,27,94,32.8843929
1020,5,2,48,115,58.40671416
1020,5,3,6,130,7.937920733
1020,5,4,9,167,11.93605982
1020,5,4,13,171,16.35853829
1020,5,4,24,182,29.87338361
1020,5,5,18,226,21.61786526
1020,6,1,17,17,21.37216968
1020,6,1,40,40,48.39175785
1020,6,2,6,62,7.768747707
1020,6,3,12,76,14.64850237
1020,6,3,22,86,26.7045804
1020,6,3,41,105,49.9367992
1020,6,4,16,129,19.82127198
1020,6,4,20,133,24.03685748
1020,6,4,40,153,49.10277649
1020,6,5,18,187,21.91199592
1020,6,5,32,201,39.01354341
1020,7,1,8,8,10.14974751
1020,7,1,17,17,20.57282844
1020,7,2,14,66,17.28255022
1020,7,2,25,77,30.54824383
1020,7,2,33,85,40.55578385
1020,7,2,46,98,56.07181561
1020,7,3,12,124,15.10785215
1020,7,3,29,141,34.87967277
1020,8,1,6,6,7.22684358
1020,8,2,11,48,13.94030399
1020,8,3,10,96,12.18826681
1020,8,3,33,119,39.97189107
1020,8,4,12,144,14.77963801
1020,8,5,16,174,19.5321297
1020,8,5,29,187,35.34099233
1020,8,5,69,227,83.84543595
1020,9,1,2,2,2.768940905
1020,9,1,6,6,7.937533043
1020,9,1,22,22,27.04157255
1020,9,2,7,54,8.817269131
1020,9,2,26,73,31.71165358
1020,9,3,9,86,11.14916226
1020,9,3,24,101,28.91834979
1020,9,4,18,168,21.87191568
1020,9,5,26,202,32.30273719
1020,10,1,9,9,11.15188682
1020,10,1,26,26,31.75274637
1020,10,1,39,39,46.89389856
1020,10,2,17,60,21.44527518
1020,10,3,11,83,13.2306032
1020,10,4,12,113,14.82307792
1020,10,5,17,132,21.19709171
1020,10,5,32,147,38.51394895
1020,10,5,41,156,49.36064576
1023,1,1,17,17,21.544215
1023,1,1,18,18,22.08479701
1023,1,2,12,38,14.74397608
1023,1,2,12,38,15.24486356
1023,1,2,28,54,33.92332622
1023,1,2,28,54,34.43059815
1023,1,2,29,55,34.9698397
1023,1,3,17,86,20.62100319
1023,1,3,17,86,21.12294465
1023,1,3,29,98,35.46889967
1023,1,3,30,99,36.01363937
1023,1,3,37,106,45.14368651
1023,1,3,38,107,45.64952832
1023,1,4,15,145,18.50421399
1023,1,4,15,145,19.00587738
1023,1,4,22,152,27.00371632
1023,1,4,32,162,38.48160384
1023,1,4,32,162,39.01339066
1023,1,4,32,162,39.51651171
1023,1,5,10,187,12.86901315
1023,1,5,11,188,13.37070793
1023,1,5,49,226,59.6553051
1023,1,5,50,227,60.20430005
1023,2,1,9,9,11.74370891
1023,2,1,23,23,28.76119397
1023,2,1,24,24,29.30013865
1023,2,1,38,38,45.65055927
1023,2,2,40,86,48.02607609
1023,2,3,12,104,14.83272792
1023,2,3,12,104,15.36669791
1023,2,3,15,107,18.91685136
1023,2,3,16,108,19.4181198
1023,2,4,8,123,10.45437275
1023,2,4,21,136,26.1749204
1023,2,4,22,137,26.67613069
1023,2,4,22,137,27.21519537
1023,2,4,36,151,43.97657267
1023,3,1,21,21,26.2543223
1023,3,1,36,36,43.26944737
1023,3,1,56,56,68.16650298
1023,3,1,57,57,68.6681807
1023,3,2,3,69,3.813270691
1023,3,2,3,69,4.315734731
1023,3,2,6,72,8.073325204
1023,3,3,5,87,6.233388963
1023,3,3,20,102,24.59071108
1023,3,3,20,102,25.12982563
1023,3,3,34,116,40.89894376
1023,3,3,38,120,45.77328237
1023,3,3,38,120,46.27567478
1023,3,4,10,133,13.07510386
1023,3,4,11,134,13.61665466
