subject,parcel,retrieval,reinstatement.m10TR,reinstatement.m9TR,reinstatement.m8TR,reinstatement.m7TR,reinstatement.m6TR,reinstatement.m5TR,reinstatement.m4TR,reinstatement.m3TR,reinstatement.m2TR,reinstatement.m1TR,reinstatement.0TR,reinstatement.1TR,reinstatement.2TR,reinstatement.3TR,shift.m10TR,shift.m9TR,shift.m8TR,shift.m7TR,shift.m6TR,shift.m5TR,shift.m4TR,shift.m3TR,shift.m2TR,shift.m1TR,shift.0TR,shift.1TR,shift.2TR,shift.3TR
1001,19,1,0.133749417,-0.000187855,0.041093469,-0.099685941,0.180818297,-0.013102446,-0.069032552,-0.055018753,0.006778789,0.050025699,-0.151326789,-0.157616956,0.245198351,0.069167649,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1001,19,1,0.166158173,0.025611175,0.009857079,0.082625737,-0.078521366,0.099204682,-0.121802752,0.08108402,-0.009625555,-0.114762137,0.048503048,-0.038273633,-0.12332272,-0.051676116,nan,nan,0,0,0,0,0,0,0,1,0,0,0,0
1001,19,1,-0.266500237,-0.063730103,-0.254371738,0.069004153,0.17576942,-0.347812083,-0.051274459,-0.192990962,-0.351338231,-0.155306433,-0.056037928,-0.279875292,0.131187869,0.193074204,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0
1001,19,1,0.183441214,0.390806199,0.245943987,0.357997717,0.307327598,0.276240476,0.037702282,-0.090335455,-0.114206733,-0.043738935,-0.31133923,-0.041143776,-0.099083296,0.16765256,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
1001,19,1,-0.256034934,-0.274416817,-0.244024323,-0.220357213,0.025736048,0.006451862,-0.030051305,0.022232389,0.036540957,0.124522258,0.028956309,-0.035741786,0.290041543,0.310120152,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1005,19,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,1,0,0,0,1,0,0,0,nan
1005,19,1,0.033746555,0.075011085,-0.100853375,-0.093914416,0.053342305,-0.123146249,0.038067739,-0.126151915,-0.027689006,0.220506932,0.024545311,0.004561421,0.026960182,0.023897786,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1005,19,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1005,19,1,0.04262754,0.113286631,0.051087189,-0.063087642,0.331471123,0.034221189,0.154313106,0.128789212,0.172136022,0.071637834,0.154108393,-0.078660832,0.275206437,0.10969531,nan,nan,nan,nan,nan,nan,0,0,0,0,0,1,0,0
1005,19,1,0.159957842,0.040695848,-0.228431126,-0.150256527,-0.107997024,0.013472649,-0.039238922,-0.007581751,-0.204260378,0.001658679,0.0462199,0.23819554,0.072804915,-0.014708315,nan,nan,0,0,1,0,0,0,1,0,0,1,0,0
